timestamp,epoch,step,global_step,loss,lr
2025-12-06T22:38:31.328113,44,1200,54949,0.787075,0.00055547
2025-12-06T22:39:10.885911,45,100,55099,0.787452,0.00055546
2025-12-06T22:39:29.759109,45,200,55199,0.787187,0.00055545
2025-12-06T22:39:48.947531,45,300,55299,0.787492,0.00055544
2025-12-06T22:40:08.150739,45,400,55399,0.786886,0.00055543
2025-12-06T22:40:27.329718,45,500,55499,0.788428,0.00055542
2025-12-06T22:40:46.520693,45,600,55599,0.786787,0.00055541
2025-12-06T22:41:05.716419,45,700,55699,0.786798,0.00055540
2025-12-06T22:41:24.902844,45,800,55799,0.786702,0.00055539
2025-12-06T22:41:44.101571,45,900,55899,0.786987,0.00055538
2025-12-06T22:42:03.299874,45,1000,55999,0.787174,0.00055537
2025-12-06T22:42:33.564375,45,1100,56099,0.787374,0.00055536
2025-12-06T22:42:52.853593,45,1200,56199,0.787283,0.00055535
2025-12-06T22:43:32.591430,46,100,56349,0.787655,0.00055534
2025-12-06T22:43:51.462895,46,200,56449,0.786960,0.00055533
2025-12-06T22:44:10.622739,46,300,56549,0.786964,0.00055532
2025-12-06T22:44:29.777607,46,400,56649,0.786583,0.00055531
2025-12-06T22:44:48.927792,46,500,56749,0.787411,0.00055530
2025-12-06T22:45:08.128758,46,600,56849,0.786528,0.00055529
2025-12-06T22:45:27.282559,46,700,56949,0.786845,0.00055528
2025-12-06T22:45:46.425010,46,800,57049,0.786803,0.00055527
2025-12-06T22:46:05.561037,46,900,57149,0.786846,0.00055526
2025-12-06T22:46:24.699445,46,1000,57249,0.786449,0.00055525
2025-12-06T22:46:54.118996,46,1100,57349,0.786677,0.00055524
2025-12-06T22:47:13.394497,46,1200,57449,0.786217,0.00055523
2025-12-06T22:47:52.399622,47,100,57599,0.787271,0.00055521
2025-12-06T22:48:11.281702,47,200,57699,0.786208,0.00055520
2025-12-06T22:48:30.447769,47,300,57799,0.787063,0.00055519
2025-12-06T22:48:49.610453,47,400,57899,0.786181,0.00055518
2025-12-06T22:49:08.762520,47,500,57999,0.786293,0.00055517
2025-12-06T22:49:27.944462,47,600,58099,0.787424,0.00055516
2025-12-06T22:49:47.090480,47,700,58199,0.787279,0.00055515
2025-12-06T22:50:06.251477,47,800,58299,0.786766,0.00055514
2025-12-06T22:50:25.418872,47,900,58399,0.786629,0.00055513
2025-12-06T22:50:44.572764,47,1000,58499,0.786161,0.00055512
2025-12-06T22:51:14.389311,47,1100,58599,0.786804,0.00055511
2025-12-06T22:51:33.687826,47,1200,58699,0.786813,0.00055510
2025-12-06T22:52:13.073052,48,100,58849,0.786667,0.00055509
2025-12-06T22:52:31.974406,48,200,58949,0.786484,0.00055508
2025-12-06T22:52:51.141482,48,300,59049,0.786904,0.00055507
2025-12-06T22:53:10.312667,48,400,59149,0.786924,0.00055506
2025-12-06T22:53:29.496971,48,500,59249,0.785836,0.00055505
2025-12-06T22:53:48.677181,48,600,59349,0.786285,0.00055504
2025-12-06T22:54:07.848104,48,700,59449,0.785125,0.00055503
2025-12-06T22:54:27.009174,48,800,59549,0.786145,0.00055502
2025-12-06T22:54:46.161369,48,900,59649,0.786839,0.00055501
2025-12-06T22:55:05.310044,48,1000,59749,0.786606,0.00055499
2025-12-06T22:55:35.816109,48,1100,59849,0.785595,0.00055498
2025-12-06T22:55:55.131688,48,1200,59949,0.786391,0.00055497
2025-12-06T22:56:34.338534,49,100,60099,0.785982,0.00055496
2025-12-06T22:56:53.205405,49,200,60199,0.785871,0.00055495
2025-12-06T22:57:12.347704,49,300,60299,0.786722,0.00055494
2025-12-06T22:57:31.498901,49,400,60399,0.787392,0.00055493
2025-12-06T22:57:50.645569,49,500,60499,0.786065,0.00055492
